               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  58,            0.053767,             0.11718,            0.034574,             0.52379,             0.32212,             0.31913,             0.19235,            0.050258,             0.20925,            0.034077,            0.004357,            0.004357,            0.004357
                  59,            0.051151,            0.099618,             0.03328,             0.48558,             0.31379,              0.2948,             0.14696,            0.052025,             0.20626,             0.03391,            0.004258,            0.004258,            0.004258
                  60,            0.053267,            0.096627,            0.034637,             0.20595,             0.22026,             0.22158,             0.13525,            0.049558,             0.21741,            0.034063,            0.004159,            0.004159,            0.004159
                  61,            0.050113,             0.11458,            0.032892,             0.52937,             0.25447,             0.31679,              0.1689,            0.049695,             0.21841,            0.034355,             0.00406,             0.00406,             0.00406
                  62,            0.050287,            0.097205,            0.033719,             0.53635,             0.26996,             0.31433,              0.1727,            0.050522,             0.22741,            0.034941,            0.003961,            0.003961,            0.003961
                  63,             0.05128,            0.097955,            0.033217,             0.30488,             0.36355,             0.34054,             0.20188,            0.049694,             0.22115,             0.03477,            0.003862,            0.003862,            0.003862
                  64,            0.050233,             0.10471,            0.035652,             0.31624,             0.33596,             0.32992,             0.18228,            0.051135,             0.23385,            0.034658,            0.003763,            0.003763,            0.003763
                  65,            0.050627,            0.094784,            0.033262,             0.28652,             0.34844,             0.33031,              0.1714,            0.052115,             0.23252,            0.034568,            0.003664,            0.003664,            0.003664
                  66,            0.048873,            0.098288,            0.033006,             0.25358,             0.33559,              0.2929,             0.15366,            0.054482,              0.2269,            0.034547,            0.003565,            0.003565,            0.003565
                  67,            0.055276,            0.096633,            0.033508,             0.30471,             0.36032,             0.34675,             0.19669,            0.048132,             0.23377,            0.034037,            0.003466,            0.003466,            0.003466
                  68,            0.047696,             0.10128,             0.03255,             0.31227,             0.33867,             0.34027,             0.19951,            0.047069,             0.23671,            0.034193,            0.003367,            0.003367,            0.003367
                  69,            0.043796,            0.098193,            0.031533,             0.30862,             0.37388,             0.36308,             0.19977,            0.047447,             0.21554,            0.033632,            0.003268,            0.003268,            0.003268
                  70,            0.046739,            0.099799,            0.032635,             0.26538,             0.39014,             0.35016,             0.20301,            0.047225,             0.21534,            0.033698,            0.003169,            0.003169,            0.003169
                  71,            0.046666,             0.09788,            0.030934,             0.29849,              0.3864,             0.37115,             0.22673,            0.045668,             0.21043,            0.033686,             0.00307,             0.00307,             0.00307
                  72,            0.045236,             0.09603,            0.032559,             0.29225,             0.38301,             0.37803,              0.2324,            0.043883,             0.20898,            0.033201,            0.002971,            0.002971,            0.002971
                  73,            0.046183,             0.11085,            0.032157,             0.26784,             0.21637,             0.25326,             0.15865,            0.045451,             0.20517,            0.032943,            0.002872,            0.002872,            0.002872
                  74,            0.044916,             0.10542,            0.031558,             0.23411,             0.21748,             0.24645,             0.13851,            0.045484,             0.20472,            0.032767,            0.002773,            0.002773,            0.002773
                  75,            0.046325,            0.096191,            0.033122,             0.33441,             0.40938,             0.38702,               0.249,            0.042749,             0.20471,            0.032841,            0.002674,            0.002674,            0.002674
                  76,            0.042648,             0.09854,             0.03194,             0.33799,             0.39384,             0.36243,             0.22177,            0.043081,             0.21498,            0.032979,            0.002575,            0.002575,            0.002575
                  77,            0.043215,            0.092672,            0.032289,             0.33846,             0.37296,             0.35844,             0.21829,             0.04307,             0.22152,               0.033,            0.002476,            0.002476,            0.002476
                  78,            0.042857,             0.10575,            0.030941,             0.33523,             0.39025,             0.37711,             0.22669,            0.043361,             0.21866,            0.032732,            0.002377,            0.002377,            0.002377
                  79,            0.040677,            0.091467,            0.029154,             0.35073,             0.39449,             0.37056,             0.23643,            0.042962,              0.2137,            0.032348,            0.002278,            0.002278,            0.002278
                  80,            0.043764,            0.097819,            0.030192,             0.33335,             0.39963,             0.37691,             0.23574,            0.041838,             0.21407,            0.032212,            0.002179,            0.002179,            0.002179
                  81,            0.042668,            0.094864,            0.031166,             0.36361,             0.39963,               0.371,                0.24,            0.041626,              0.2193,            0.032229,             0.00208,             0.00208,             0.00208
                  82,            0.039848,            0.093618,            0.030373,             0.37902,             0.35446,             0.36671,             0.22745,            0.042701,             0.22596,            0.032257,            0.001981,            0.001981,            0.001981
                  83,            0.040327,            0.099097,            0.029493,             0.38413,             0.36071,             0.37576,             0.23611,             0.04256,             0.22479,            0.031998,            0.001882,            0.001882,            0.001882
                  84,            0.040187,            0.098245,            0.029513,             0.38394,             0.36327,             0.38136,              0.2318,              0.0425,             0.22229,             0.03191,            0.001783,            0.001783,            0.001783
                  85,            0.040329,            0.098833,            0.028691,             0.33998,             0.38199,             0.38598,             0.24288,            0.041124,             0.21716,            0.031888,            0.001684,            0.001684,            0.001684
                  86,            0.040355,            0.091554,            0.028945,             0.33815,             0.37776,             0.37915,             0.23385,            0.041395,             0.21718,            0.031896,            0.001585,            0.001585,            0.001585
                  87,            0.038488,            0.097222,            0.028272,             0.35503,              0.3834,             0.37787,             0.24726,            0.041546,             0.21475,            0.032055,            0.001486,            0.001486,            0.001486
                  88,            0.037942,            0.097898,            0.028424,             0.35038,             0.38707,             0.37471,             0.24474,            0.040918,             0.21146,            0.032096,            0.001387,            0.001387,            0.001387
                  89,            0.040381,            0.097487,            0.029602,             0.34282,             0.38965,             0.38185,             0.24772,            0.040214,             0.20793,            0.032142,            0.001288,            0.001288,            0.001288
                  90,            0.041212,             0.10573,            0.029996,             0.35226,             0.39564,             0.37524,             0.25028,            0.040799,             0.20719,            0.032159,            0.001189,            0.001189,            0.001189
                  91,            0.039982,             0.10278,            0.029578,             0.34562,              0.3842,             0.37887,             0.24919,             0.04113,             0.20894,            0.032137,             0.00109,             0.00109,             0.00109
                  92,            0.038669,            0.084462,             0.02863,             0.35554,             0.38318,             0.38342,             0.25409,             0.04115,             0.21092,            0.032083,            0.000991,            0.000991,            0.000991
                  93,            0.039267,            0.098142,            0.027805,             0.39092,             0.47471,              0.4851,             0.31295,             0.04117,              0.2123,             0.03198,            0.000892,            0.000892,            0.000892
                  94,            0.039705,            0.091576,            0.029382,             0.39508,             0.47726,             0.48609,             0.31305,            0.040804,             0.20962,            0.031872,            0.000793,            0.000793,            0.000793
                  95,            0.039104,            0.085656,            0.029862,             0.34663,             0.39671,             0.37874,             0.25085,            0.040603,             0.20783,            0.031866,            0.000694,            0.000694,            0.000694
                  96,            0.038442,            0.084184,            0.029203,             0.39043,             0.48323,             0.48531,             0.32229,             0.04053,             0.20861,             0.03185,            0.000595,            0.000595,            0.000595
                  97,            0.038965,            0.090626,            0.028215,             0.36832,             0.39689,             0.38566,             0.25647,            0.040372,             0.20794,            0.031799,            0.000496,            0.000496,            0.000496
                  98,            0.041202,            0.094711,            0.030645,             0.37035,              0.3956,              0.3864,             0.25832,            0.040258,             0.20686,            0.031806,            0.000397,            0.000397,            0.000397
                  99,            0.037946,            0.093734,            0.027642,              0.3708,             0.39229,             0.38769,             0.25967,            0.040177,             0.20626,            0.031806,            0.000298,            0.000298,            0.000298
